Date,Close
1/2/2020 16:00:00,137.1
1/3/2020 16:00:00,137.51
1/6/2020 16:00:00,143.37
1/7/2020 16:00:00,138.19
1/8/2020 16:00:00,134.64
1/9/2020 16:00:00,133.79
1/10/2020 16:00:00,128.4
1/13/2020 16:00:00,133.93
1/14/2020 16:00:00,133.42
1/15/2020 16:00:00,132.5
1/16/2020 16:00:00,131.07
1/17/2020 16:00:00,130.38
1/21/2020 16:00:00,136.63
1/22/2020 16:00:00,132.43
1/23/2020 16:00:00,134.07
1/24/2020 16:00:00,130.09
1/27/2020 16:00:00,126.21
1/28/2020 16:00:00,129.61
1/29/2020 16:00:00,128.88
1/30/2020 16:00:00,130.64
1/31/2020 16:00:00,120.95
2/3/2020 16:00:00,127.5
2/4/2020 16:00:00,131.03
2/5/2020 16:00:00,125.94
2/6/2020 16:00:00,126.16
2/7/2020 16:00:00,124.25
2/10/2020 16:00:00,132.21
2/11/2020 16:00:00,137
2/12/2020 16:00:00,138.29
2/13/2020 16:00:00,139.05
2/14/2020 16:00:00,130.25
2/18/2020 16:00:00,127.15
2/19/2020 16:00:00,126.56
2/20/2020 16:00:00,124.08
2/21/2020 16:00:00,119.38
2/24/2020 16:00:00,116.99
2/25/2020 16:00:00,118.67
2/26/2020 16:00:00,112.71
2/27/2020 16:00:00,110.03
2/28/2020 16:00:00,113.67
3/2/2020 16:00:00,114.67
3/3/2020 16:00:00,108.62
3/4/2020 16:00:00,109.61
3/5/2020 16:00:00,106.44
3/6/2020 16:00:00,102.02
3/9/2020 16:00:00,96.26
3/10/2020 16:00:00,97.3
3/11/2020 16:00:00,90.63
3/12/2020 16:00:00,78.81
3/13/2020 16:00:00,80.95
3/16/2020 16:00:00,63.84
3/17/2020 16:00:00,69.46
3/18/2020 16:00:00,67.5
3/19/2020 16:00:00,74.12
3/20/2020 16:00:00,76.13
3/23/2020 16:00:00,89.46
3/24/2020 16:00:00,97.2
3/25/2020 16:00:00,94.85
3/26/2020 16:00:00,89.75
3/27/2020 16:00:00,87.45
3/30/2020 16:00:00,89.61
3/31/2020 16:00:00,87.48
4/1/2020 16:00:00,82.42
4/2/2020 16:00:00,82.53
4/3/2020 16:00:00,81.46
4/6/2020 16:00:00,89.49
4/7/2020 16:00:00,87.8
4/8/2020 16:00:00,87.81
4/9/2020 16:00:00,92.45
4/13/2020 16:00:00,96.56
4/14/2020 16:00:00,106.53
4/15/2020 16:00:00,113
4/16/2020 16:00:00,128
4/17/2020 16:00:00,126.8
4/20/2020 16:00:00,130.04
4/21/2020 16:00:00,123.56
4/22/2020 16:00:00,122.19
4/23/2020 16:00:00,123.06
4/24/2020 16:00:00,124.83
4/27/2020 16:00:00,128.63
4/28/2020 16:00:00,119.36
4/29/2020 16:00:00,119.52
4/30/2020 16:00:00,121.23
5/1/2020 16:00:00,114.02
5/4/2020 16:00:00,124.3
5/5/2020 16:00:00,123.49
5/6/2020 16:00:00,127.52
5/7/2020 16:00:00,137.5
5/8/2020 16:00:00,126.66
5/11/2020 16:00:00,132.18
5/12/2020 16:00:00,127.16
5/13/2020 16:00:00,117.56
5/14/2020 16:00:00,116.6
5/15/2020 16:00:00,112.93
5/18/2020 16:00:00,118.45
5/19/2020 16:00:00,116.02
5/20/2020 16:00:00,117.04
5/21/2020 16:00:00,114.7
5/22/2020 16:00:00,108.51
5/26/2020 16:00:00,107.59
5/27/2020 16:00:00,106.56
5/28/2020 16:00:00,109.2
5/29/2020 16:00:00,109.51
6/1/2020 16:00:00,112.95
6/2/2020 16:00:00,110.82
6/3/2020 16:00:00,103.96
6/4/2020 16:00:00,102.93
6/5/2020 16:00:00,104.38
6/8/2020 16:00:00,112.95
6/9/2020 16:00:00,113.25
6/10/2020 16:00:00,113.8
6/11/2020 16:00:00,106.95
6/12/2020 16:00:00,108.07
6/15/2020 16:00:00,107.49
6/16/2020 16:00:00,120.81
6/17/2020 16:00:00,117.32
